# SISTEMA DE DETECCION DE FRAUDE BANCARIO
# Entradas (10 columnas normalizadas de 0.0 a 1.0):
# 1.Monto_Transaccion 2.Distancia_Ubicacion 3.Intentos_Pin_Fallidos 
# 4.Hora_Inusual 5.Compra_Internacional 6.Historial_Fraude_Previo 
# 7.Uso_VPN 8.Cambio_Contraseña_Reciente 9.Dispositivo_Nuevo 10.Monto_Promedio_Mes
# Salida (Ultima columna): 0 = Legítimo, 1 = FRAUDE
# ---------------------------------------------------------
0.10; 0.05; 0.00; 0.10; 0.00; 0.00; 0.00; 0.00; 0.10; 0.20; 0
0.95; 0.80; 1.00; 0.90; 1.00; 0.00; 1.00; 1.00; 1.00; 0.10; 1
0.15; 0.10; 0.00; 0.05; 0.00; 0.00; 0.00; 0.00; 0.00; 0.25; 0
0.85; 0.90; 1.00; 0.85; 1.00; 1.00; 1.00; 0.00; 1.00; 0.15; 1
0.05; 0.02; 0.00; 0.20; 0.00; 0.00; 0.00; 0.00; 0.00; 0.10; 0
0.75; 0.85; 0.00; 0.95; 1.00; 1.00; 1.00; 1.00; 1.00; 0.20; 1
0.20; 0.15; 0.00; 0.10; 0.00; 0.00; 0.00; 0.00; 0.10; 0.30; 0
0.90; 0.70; 1.00; 0.80; 1.00; 0.00; 1.00; 1.00; 1.00; 0.05; 1
0.12; 0.08; 0.00; 0.15; 0.00; 0.00; 0.00; 0.00; 0.00; 0.22; 0
0.88; 0.95; 1.00; 0.90; 1.00; 1.00; 1.00; 1.00; 1.00; 0.12; 1
0.08; 0.05; 0.00; 0.05; 0.00; 0.00; 0.00; 0.00; 0.10; 0.18; 0
0.92; 0.88; 1.00; 0.95; 1.00; 0.00; 1.00; 1.00; 1.00; 0.08; 1
0.18; 0.12; 0.00; 0.25; 0.00; 0.00; 0.00; 0.00; 0.00; 0.28; 0
0.82; 0.75; 1.00; 0.85; 1.00; 1.00; 1.00; 1.00; 1.00; 0.18; 1
0.10; 0.05; 0.00; 0.10; 0.00; 0.00; 0.00; 0.00; 0.00; 0.20; 0
0.95; 0.90; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 0.10; 1
0.14; 0.09; 0.00; 0.12; 0.00; 0.00; 0.00; 0.00; 0.10; 0.24; 0
0.89; 0.85; 1.00; 0.92; 1.00; 0.00; 1.00; 1.00; 1.00; 0.14; 1
0.09; 0.04; 0.00; 0.08; 0.00; 0.00; 0.00; 0.00; 0.00; 0.15; 0
0.98; 0.95; 1.00; 0.98; 1.00; 1.00; 1.00; 1.00; 1.00; 0.05; 1
